millis,stamp,datetime,light,temp,vcc
88999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
89999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
90998, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
91999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
92999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
93999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
94999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
96000, 1562112000, "2019/7/3 0:0:0", 998, 521.50, 1.13
96998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
97999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
98999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
99999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
101000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
101999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
102999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
103999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
104999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
105999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
106999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
107999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
108999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
110000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
110999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
112000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
112999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
113999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
115000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
115998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
116999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
117999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
118999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
120000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
120998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
121999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
122999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
123998, 1562112000, "2019/7/3 0:0:0", 996, 519.76, 1.13
124999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
126000, 1562112000, "2019/7/3 0:0:0", 996, 519.76, 1.13
126998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
128000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
129000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
129999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
130999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
131999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
133000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
133999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
135000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
135999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
136999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
138000, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
138998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
140000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
140999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
142000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
142999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
144000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
145000, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
145999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
146999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
147999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
149000, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
149999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
151000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
151999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
152999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
153999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
154999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
156000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
156999, 1562112000, "2019/7/3 0:0:0", 997, 519.76, 1.13
158000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
158999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
160000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
160999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
161999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
162998, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
163998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
164999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
165999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
167000, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
167999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
168998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
169999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
170998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
171999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
172999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
174000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
174999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
176000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
176999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
177998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
178999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
179999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
180999, 1562112000, "2019/7/3 0:0:0", 996, 520.34, 1.13
181999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
182999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
183999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
184999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
185999, 1562112000, "2019/7/3 0:0:0", 997, 519.76, 1.13
186999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
188000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
188998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
190000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
