millis,stamp,datetime,light,temp,vcc
1000, 1562112000, "2019/7/3 0:0:0", 999, 521.50, 1.13
1999, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
2999, 1562112000, "2019/7/3 0:0:0", 998, 520.34, 1.13
3998, 1562112000, "2019/7/3 0:0:0", 999, 520.92, 1.13
5000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
5998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
6999, 1562112000, "2019/7/3 0:0:0", 999, 521.50, 1.13
7999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
8999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
9999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
10998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
11999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
12999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
14000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
14999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
16000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
16998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
17998, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
18999, 1562112000, "2019/7/3 0:0:0", 997, 520.92, 1.13
19998, 1562112000, "2019/7/3 0:0:0", 999, 520.92, 1.13
21000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
21999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
23000, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
23999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
24999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
25999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
26999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
27999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
28998, 1562112000, "2019/7/3 0:0:0", 998, 520.92, 1.13
30000, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
30999, 1562112000, "2019/7/3 0:0:0", 997, 520.34, 1.13
